"","factor_list","n","cv","co-efficients","p-values","RMSE","RSS","adjR","model_p_sign"
"541","Q1 xYield_CPALTT01USQ657N xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 1","0.00101973462147426, 0.0117996327795894, 0.000660905836584519, 0.545843742401877, 0.00938373116525372, 0.00100328209393366","0.684530420645262, 0.00394917598188338, 0.580466045129392, 7.01303427774588e-07, 0.0017635124582253, 0.388800103049443","0.0120652381152759","0.0180788317139288","0.495931182342757","5.46474684203716e-08"
"542","Q1 xYield_CPALTT01USQ657N xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 2","0.00221538238168209, 0.0114422488026634, 0.000438145352825894, 0.589900698232312, 0.0017852831204434, 0.00237395261387878","0.210293128438084, 0.00572838899135947, 0.0524051215725026, 6.41673125258297e-10, 0.667871144381878, 0.0196781917465668","0.0105088744437269","0.0113674226138794","0.616182000473885","5.18048559001652e-11"
"543","Q1 xYield_CPALTT01USQ657N xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 3","0.000837488875538708, 0.0106034224814576, 0.000291652463075114, 0.554036159054511, 0.0110528004580469, -0.00105128786350962","0.659630516858122, 0.00648472295440737, 0.245119422642186, 3.63402985742708e-08, 5.53884542217073e-05, 0.637801204760265","0.0109710242043818","0.0109138247645974","0.592861398612776","2.35886683709121e-10"
"544","Q1 xYield_CPALTT01USQ657N xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 4","-0.00035048543563186, 0.00985170479086104, 0.000725884685367598, 0.582187127875933, 0.0114833954950837, -0.00206593884680953","0.846148192144002, 0.00482455210286447, 0.209071104675021, 5.96798537036539e-09, 5.37860390269338e-05, 0.344150636935677","0.00979852719354254","0.00786255395045937","0.567625627649448","1.10120685876427e-09"
"545","Q1 xYield_CPALTT01USQ657N xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 5","-0.00118646549212456, 0.0137445645959716, 0.00141886867654873, 0.577273319098358, 0.00694511757283291, 0.00111510858223894","0.56538517516847, 0.000132991522055746, 0.0032325365858038, 3.34936134758148e-08, 0.132077148211098, 0.301612133541969","0.011047723044319","0.0115108442086909","0.572054553836784","8.46175235292598e-10"
"546","Q1 xYield_CPALTT01USQ657N xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 6","0.000828984913308978, 0.012720513983765, 0.00130882622201651, 0.494205837659664, 0.0109241236821698, 0.00116574559031264","0.667681413529976, 0.00188023409508188, 0.00777382826231738, 1.66914571418498e-07, 0.000144476632074949, 0.00908212554245842","0.0115138622143399","0.0171682214088826","0.634665244170837","1.45269508105804e-11"
"547","Q1 xYield_CPALTT01USQ657N xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 7","0.000979235523386338, 0.0120303143746996, 0.000231480683137006, 0.620730599921364, 0.006956029285838, 0.00255347211889909","0.600621065647897, 0.000903209433562555, 0.270693525668323, 5.42252170155299e-10, 0.230772886100099, 0.216643741261626","0.00995949128484233","0.00766670854914992","0.617798804090515","4.64715182388427e-11"
"548","Q1 xYield_CPALTT01USQ657N xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 8","0.00302012190759859, 0.0099978829220695, 0.000196605138246993, 0.554240301231916, 0.00272452183394038, -0.000287831340665027","0.0568261938060887, 0.00066140382302418, 0.324027995975487, 8.59089437364726e-09, 0.497676214636311, 0.894421706608523","0.00878843720127034","0.00693247578460386","0.59231582399591","2.44133500534668e-10"
"549","Q1 xYield_CPALTT01USQ657N xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 9","0.00204838172536757, 0.0100254704661671, 0.00200817075623994, 0.553248807149928, 0.00813852114674649, -0.0012116119338503","0.174268427522743, 0.00167806030712824, 0.000258866372394424, 5.43323975610751e-12, 0.0568564973101068, 0.462075293459492","0.00841925630268791","0.00632964230247862","0.679789581660987","4.8080982594129e-13"
"550","Q1 xYield_CPALTT01USQ657N xYield_NYXRSA xYield_TB3MS xYield_USSLIND","6","cv 10","0.00157457292607334, 0.0121279195530498, 0.000338628575175045, 0.473401209981688, 0.00425837448540302, -0.00689749793711773","0.406229004812985, 0.0035373256507826, 0.169726883370412, 8.57586713798759e-06, 0.355691714476117, 0.0414843978292834","0.0114481971104037","0.0114672259770516","0.513275734364782","2.25020574424913e-08"
