,test2_z.date,scaled.BL_yFYield_CSUSHPINSA,scaled.yFYield_CSUSHPINSA,scaled.xYield_CASTHPI,scaled.xYield_TB3MS,scaled.xYield_MSPNHSUS,scaled.xYield_MVLOAS,scaled.Q1,scaled.Q2,scaled.BL_yFYield_CSUSHPINSA,scaled.yFYield_CSUSHPINSA,scaled.xYield_CASTHPI,scaled.xYield_TB3MS,scaled.xYield_MSPNHSUS,scaled.xYield_MVLOAS,scaled.Q1,scaled.Q2,unscaled.BL_yFYield_CSUSHPINSA,unscaled.yFYield_CSUSHPINSA,unscaled.xYield_CASTHPI,unscaled.xYield_TB3MS,unscaled.xYield_MSPNHSUS,unscaled.xYield_MVLOAS,unscaled.Q1,unscaled.Q2,scaled.yFYield_CSUSHPINSA,distance
62,6/30/2004,0.568402426,1.513664106,1.889952351,0.235343222,0.294088066,-0.089244674,-0.581394901,1.705425043,0.715119128,0.934944473,0.970617833,0.593028825,0.615654695,0.464443731,0.280487167,0.955942409,1,0.036451043,0.062394008,0.174545454,0.01722264,0.010163168,0,1,0.934944473,0.146695777
63,9/30/2004,0.568402426,0.84766671,3.340777925,0.646990534,-0.685460842,0.894949655,-0.581394901,-0.581394901,0.715119128,0.801688194,0.99958228,0.741180965,0.246526581,0.814592999,0.280487167,0.280487167,1,0.024311827,0.101829066,0.380804952,-0.011698013,0.02893409,0,0,0.801688194,0.060476193
64,12/31/2004,0.568402426,1.160306493,0.99802504,0.585063331,1.884028824,-0.116532474,-0.581394901,-0.581394901,0.715119128,0.877037979,0.840866392,0.720747433,0.970219462,0.453615275,0.280487167,0.280487167,1,0.03001035,0.038150429,0.349775784,0.064164782,0.009642725,0,0,0.877037979,0.091070483
65,3/31/2005,0.568402426,1.983333963,1.201726093,0.414112961,0.027987452,-0.231782604,1.705425043,-0.581394901,0.715119128,0.976334931,0.885265166,0.660604309,0.51116392,0.408353435,0.955942409,0.280487167,1,0.045011773,0.04368725,0.264119601,0.009366163,0.007444632,1,0,0.976334931,0.116969401
66,6/30/2005,0.568402426,1.571774083,1.739101579,0.144001576,-0.240142841,-0.245247297,-0.581394901,1.705425043,0.715119128,0.941998523,0.958991552,0.557250387,0.405109762,0.403132478,0.280487167,0.955942409,1,0.037510221,0.058293716,0.128777921,0.001449761,0.007187828,0,1,0.941998523,0.093485626
67,9/30/2005,0.568402426,0.648682142,1.407278563,0.233171932,0.642476444,0.390126542,-0.581394901,-0.581394901,0.715119128,0.741728075,0.920327598,0.59218605,0.73971806,0.651778511,0.280487167,0.280487167,1,0.02068491,0.049274396,0.17345751,0.027508618,0.019305915,0,0,0.741728075,0.077497426
68,12/31/2005,0.568402426,0.18049692,1.242162362,0.164180784,0.221398145,-0.75639241,-0.581394901,-0.581394901,0.715119128,0.571618764,0.892911668,0.565205586,0.587608782,0.224706979,0.280487167,0.280487167,1,0.012151241,0.044786353,0.13888889,0.015076509,-0.002560922,0,0,0.571618764,-0.028098775
69,3/31/2006,0.568402426,0.267912831,0.352962403,0.182531389,0.373677083,-3.243675552,1.705425043,-0.581394901,0.715119128,0.605616792,0.637941687,0.572417138,0.645677711,0.00058999,0.955942409,0.280487167,1,0.013744581,0.020616907,0.148083622,0.019572462,-0.049999314,1,0,0.605616792,0.01550935
70,6/30/2006,0.568402426,-0.421328712,-0.077801363,0.02781468,-0.10940465,-1.144705124,-0.581394901,1.705425043,0.715119128,0.336757533,0.468993031,0.511095021,0.456440773,0.126165664,0.280487167,0.955942409,1,0.001181691,0.008908267,0.070561457,0.005309735,-0.009966967,0,1,0.336757533,-0.033479322
71,9/30/2006,-1.744407445,-0.71434651,-0.290013364,-0.02672923,-1.651578249,0.593381859,-0.581394901,-0.581394901,0.040544034,0.23750647,0.385903007,0.48933785,0.049310279,0.723537187,0.280487167,0.280487167,0,-0.00415918,0.003140108,0.043231752,-0.040222107,0.023182476,0,0,0.23750647,-0.131822891
